município,ano,sigla,idhm_e,idhm_l,idhm_r,idhm
CAXIAS DO SUL,1991,RS,0.381,0.756,0.728,0.594
CENTENÁRIO,1991,RS,0.138,0.754,0.572,0.39
CERRITO,1991,RS,0.181,0.693,0.569,0.415
CERRO BRANCO,1991,RS,0.2,0.696,0.534,0.42
CERRO GRANDE,1991,RS,0.19,0.669,0.458,0.388
CERRO GRANDE DO SUL,1991,RS,0.122,0.701,0.599,0.371
CERRO LARGO,1991,RS,0.356,0.767,0.581,0.541
CHAPADA,1991,RS,0.272,0.72,0.602,0.49
CHARQUEADAS,1991,RS,0.357,0.765,0.613,0.551
CHARRUA,1991,RS,0.13,0.765,0.532,0.375
CHIAPETTA,1991,RS,0.289,0.72,0.585,0.496
CHUÍ,1991,RS,0.318,0.691,0.712,0.539
CHUVISCA,1991,RS,0.066,0.713,0.55,0.296
CIDREIRA,1991,RS,0.231,0.706,0.621,0.466
CIRÍACO,1991,RS,0.23,0.7,0.55,0.446
COLINAS,1991,RS,0.331,0.747,0.619,0.535
COLORADO,1991,RS,0.317,0.727,0.713,0.548
CONDOR,1991,RS,0.242,0.754,0.58,0.473
CONSTANTINA,1991,RS,0.272,0.746,0.572,0.488
COQUEIRO BAIXO,1991,RS,0.131,0.758,0.573,0.385
COQUEIROS DO SUL,1991,RS,0.21,0.705,0.508,0.422
CORONEL BARROS,1991,RS,0.213,0.762,0.565,0.451
CORONEL BICACO,1991,RS,0.226,0.716,0.543,0.445
CORONEL PILAR,1991,RS,0.321,0.733,0.595,0.519
COTIPORÃ,1991,RS,0.275,0.733,0.639,0.505
COXILHA,1991,RS,0.171,0.75,0.558,0.415
CRISSIUMAL,1991,RS,0.25,0.727,0.568,0.469
CRISTAL,1991,RS,0.176,0.719,0.641,0.433
CRISTAL DO SUL,1991,RS,0.124,0.681,0.371,0.315
CRUZ ALTA,1991,RS,0.368,0.727,0.653,0.559
CRUZALTENSE,1991,RS,0.13,0.71,0.489,0.356
CRUZEIRO DO SUL,1991,RS,0.289,0.733,0.61,0.506
DAVID CANABARRO,1991,RS,0.291,0.75,0.571,0.499
DERRUBADAS,1991,RS,0.152,0.71,0.436,0.361
DEZESSEIS DE NOVEMBRO,1991,RS,0.208,0.689,0.474,0.408
DILERMANDO DE AGUIAR,1991,RS,0.169,0.75,0.548,0.411
DOIS IRMÃOS,1991,RS,0.306,0.747,0.669,0.535
DOIS IRMÃOS DAS MISSÕES,1991,RS,0.133,0.653,0.549,0.363
DOIS LAJEADOS,1991,RS,0.252,0.767,0.698,0.513
DOM FELICIANO,1991,RS,0.088,0.669,0.544,0.318
DOM PEDRO DE ALCÂNTARA,1991,RS,0.167,0.715,0.515,0.395
DOM PEDRITO,1991,RS,0.337,0.662,0.611,0.515
DONA FRANCISCA,1991,RS,0.253,0.701,0.618,0.479
DOUTOR MAURÍCIO CARDOSO,1991,RS,0.283,0.721,0.549,0.482
DOUTOR RICARDO,1991,RS,0.165,0.721,0.557,0.405
ELDORADO DO SUL,1991,RS,0.252,0.71,0.619,0.48
ENCANTADO,1991,RS,0.413,0.772,0.688,0.603
ENCRUZILHADA DO SUL,1991,RS,0.199,0.694,0.578,0.431
ENGENHO VELHO,1991,RS,0.122,0.674,0.536,0.353
ENTRE-IJUÍS,1991,RS,0.253,0.745,0.561,0.473
ENTRE RIOS DO SUL,1991,RS,0.143,0.71,0.548,0.382
EREBANGO,1991,RS,0.235,0.737,0.557,0.459
ERECHIM,1991,RS,0.378,0.746,0.686,0.578
ERNESTINA,1991,RS,0.266,0.727,0.555,0.475
HERVAL,1991,RS,0.209,0.72,0.577,0.443
ERVAL GRANDE,1991,RS,0.095,0.765,0.531,0.338
ERVAL SECO,1991,RS,0.223,0.721,0.509,0.434
ESMERALDA,1991,RS,0.257,0.748,0.569,0.478
ESPERANÇA DO SUL,1991,RS,0.198,0.651,0.49,0.398
ESPUMOSO,1991,RS,0.289,0.76,0.636,0.519
ESTAÇÃO,1991,RS,0.34,0.748,0.6,0.534
ESTÂNCIA VELHA,1991,RS,0.301,0.76,0.676,0.537
ESTEIO,1991,RS,0.409,0.742,0.675,0.589
ESTRELA,1991,RS,0.361,0.751,0.662,0.564
ESTRELA VELHA,1991,RS,0.152,0.705,0.489,0.374
EUGÊNIO DE CASTRO,1991,RS,0.241,0.76,0.563,0.469
FAGUNDES VARELA,1991,RS,0.215,0.781,0.629,0.473
FARROUPILHA,1991,RS,0.321,0.772,0.708,0.56
FAXINAL DO SOTURNO,1991,RS,0.36,0.735,0.594,0.54
FAXINALZINHO,1991,RS,0.201,0.659,0.514,0.408
FAZENDA VILANOVA,1991,RS,0.181,0.717,0.609,0.429
FELIZ,1991,RS,0.343,0.761,0.683,0.563
FLORES DA CUNHA,1991,RS,0.275,0.762,0.682,0.523
FLORIANO PEIXOTO,1991,RS,0.108,0.719,0.536,0.347
FONTOURA XAVIER,1991,RS,0.099,0.734,0.501,0.331
FORMIGUEIRO,1991,RS,0.217,0.725,0.593,0.454
FORQUETINHA,1991,RS,0.219,0.758,0.613,0.467
FORTALEZA DOS VALOS,1991,RS,0.304,0.734,0.688,0.535
FREDERICO WESTPHALEN,1991,RS,0.329,0.749,0.626,0.536
GARIBALDI,1991,RS,0.367,0.743,0.698,0.575
GARRUCHOS,1991,RS,0.052,0.681,0.453,0.252
GAURAMA,1991,RS,0.273,0.781,0.579,0.498
GENERAL CÂMARA,1991,RS,0.249,0.717,0.585,0.471
GENTIL,1991,RS,0.182,0.73,0.519,0.41
GETÚLIO VARGAS,1991,RS,0.347,0.71,0.612,0.532
GIRUÁ,1991,RS,0.278,0.684,0.578,0.479
GLORINHA,1991,RS,0.178,0.741,0.579,0.424
GRAMADO,1991,RS,0.308,0.78,0.676,0.546
GRAMADO DOS LOUREIROS,1991,RS,0.139,0.658,0.413,0.336
GRAMADO XAVIER,1991,RS,0.124,0.669,0.544,0.356
GRAVATAÍ,1991,RS,0.332,0.75,0.634,0.54
GUABIJU,1991,RS,0.258,0.78,0.582,0.489
GUAÍBA,1991,RS,0.301,0.75,0.629,0.522
GUAPORÉ,1991,RS,0.359,0.724,0.649,0.553
GUARANI DAS MISSÕES,1991,RS,0.257,0.727,0.561,0.471
HARMONIA,1991,RS,0.32,0.746,0.662,0.541
HERVEIRAS,1991,RS,0.073,0.705,0.52,0.299
HORIZONTINA,1991,RS,0.39,0.75,0.628,0.568
HULHA NEGRA,1991,RS,0.163,0.653,0.541,0.386
HUMAITÁ,1991,RS,0.349,0.762,0.585,0.538
IBARAMA,1991,RS,0.134,0.647,0.578,0.369
IBIAÇÁ,1991,RS,0.257,0.758,0.581,0.484
IBIRAIARAS,1991,RS,0.257,0.734,0.621,0.489
IBIRAPUITÃ,1991,RS,0.193,0.703,0.533,0.417
IBIRUBÁ,1991,RS,0.279,0.734,0.65,0.511
IGREJINHA,1991,RS,0.229,0.746,0.652,0.481
IJUÍ,1991,RS,0.364,0.72,0.646,0.553
ILÓPOLIS,1991,RS,0.242,0.756,0.57,0.471
IMBÉ,1991,RS,0.339,0.744,0.65,0.547
IMIGRANTE,1991,RS,0.276,0.759,0.649,0.514
INDEPENDÊNCIA,1991,RS,0.251,0.745,0.539,0.465
INHACORÁ,1991,RS,0.131,0.716,0.537,0.369
IPÊ,1991,RS,0.256,0.744,0.669,0.503
IPIRANGA DO SUL,1991,RS,0.244,0.788,0.606,0.488
IRAÍ,1991,RS,0.246,0.705,0.595,0.469
ITAARA,1991,RS,0.221,0.746,0.552,0.45
ITACURUBI,1991,RS,0.182,0.693,0.587,0.42
ITAPUCA,1991,RS,0.139,0.703,0.548,0.377
ITAQUI,1991,RS,0.28,0.754,0.606,0.504
ITATI,1991,RS,0.158,0.715,0.553,0.397
ITATIBA DO SUL,1991,RS,0.159,0.705,0.467,0.374
IVORÁ,1991,RS,0.31,0.754,0.573,0.512
IVOTI,1991,RS,0.315,0.777,0.685,0.551
JABOTICABA,1991,RS,0.2,0.694,0.512,0.414
JACUIZINHO,1991,RS,0.098,0.714,0.582,0.344
JACUTINGA,1991,RS,0.299,0.734,0.597,0.508
JAGUARÃO,1991,RS,0.306,0.706,0.621,0.512
JAGUARI,1991,RS,0.289,0.742,0.603,0.506
JAQUIRANA,1991,RS,0.144,0.65,0.513,0.363
JARI,1991,RS,0.055,0.72,0.514,0.273
JÓIA,1991,RS,0.234,0.714,0.546,0.45
JÚLIO DE CASTILHOS,1991,RS,0.332,0.75,0.639,0.542
LAGOA BONITA DO SUL,1991,RS,0.105,0.705,0.528,0.339
LAGOÃO,1991,RS,0.088,0.65,0.455,0.296
LAGOA DOS TRÊS CANTOS,1991,RS,0.362,0.76,0.659,0.566
LAGOA VERMELHA,1991,RS,0.321,0.734,0.596,0.52
LAJEADO,1991,RS,0.409,0.748,0.698,0.598
LAJEADO DO BUGRE,1991,RS,0.054,0.685,0.342,0.233
LAVRAS DO SUL,1991,RS,0.301,0.669,0.635,0.504
LIBERATO SALZANO,1991,RS,0.15,0.705,0.453,0.363
LINDOLFO COLLOR,1991,RS,0.182,0.72,0.595,0.427
LINHA NOVA,1991,RS,0.227,0.735,0.641,0.475
MACHADINHO,1991,RS,0.244,0.707,0.544,0.454
MAÇAMBARÁ,1991,RS,0.171,0.686,0.559,0.403
MAMPITUBA,1991,RS,0.138,0.678,0.55,0.372
MANOEL VIANA,1991,RS,0.188,0.669,0.546,0.41
MAQUINÉ,1991,RS,0.238,0.717,0.572,0.46
MARATÁ,1991,RS,0.232,0.754,0.609,0.474
MARAU,1991,RS,0.324,0.751,0.655,0.542
MARCELINO RAMOS,1991,RS,0.241,0.759,0.597,0.478
MARIANA PIMENTEL,1991,RS,0.211,0.754,0.57,0.449
MARIANO MORO,1991,RS,0.238,0.763,0.621,0.483
MARQUES DE SOUZA,1991,RS,0.236,0.777,0.61,0.482
MATA,1991,RS,0.194,0.711,0.579,0.431
MATO CASTELHANO,1991,RS,0.213,0.71,0.541,0.434
MATO LEITÃO,1991,RS,0.238,0.721,0.612,0.472
MATO QUEIMADO,1991,RS,0.261,0.76,0.494,0.461
MAXIMILIANO DE ALMEIDA,1991,RS,0.228,0.658,0.586,0.445
MINAS DO LEÃO,1991,RS,0.188,0.69,0.557,0.417
MIRAGUAÍ,1991,RS,0.196,0.706,0.506,0.412
MONTAURI,1991,RS,0.238,0.762,0.624,0.484
MONTE ALEGRE DOS CAMPOS,1991,RS,0.085,0.686,0.486,0.305
MONTE BELO DO SUL,1991,RS,0.255,0.777,0.625,0.498
MONTENEGRO,1991,RS,0.322,0.742,0.669,0.543
MORMAÇO,1991,RS,0.176,0.734,0.525,0.408
MORRINHOS DO SUL,1991,RS,0.168,0.678,0.548,0.397
MORRO REDONDO,1991,RS,0.204,0.736,0.557,0.437
MORRO REUTER,1991,RS,0.171,0.75,0.613,0.428
MOSTARDAS,1991,RS,0.177,0.754,0.634,0.439
MUÇUM,1991,RS,0.332,0.759,0.657,0.549
MUITOS CAPÕES,1991,RS,0.167,0.689,0.544,0.397
MULITERNO,1991,RS,0.179,0.688,0.535,0.404
NÃO-ME-TOQUE,1991,RS,0.39,0.727,0.659,0.572
NICOLAU VERGUEIRO,1991,RS,0.166,0.742,0.561,0.41
NONOAI,1991,RS,0.209,0.695,0.594,0.442
NOVA ALVORADA,1991,RS,0.205,0.71,0.648,0.455
NOVA ARAÇÁ,1991,RS,0.397,0.742,0.663,0.58
NOVA BASSANO,1991,RS,0.299,0.748,0.647,0.525
NOVA BOA VISTA,1991,RS,0.33,0.721,0.555,0.509
NOVA BRÉSCIA,1991,RS,0.331,0.788,0.647,0.553
NOVA CANDELÁRIA,1991,RS,0.156,0.743,0.494,0.385
NOVA ESPERANÇA DO SUL,1991,RS,0.322,0.75,0.601,0.526
NOVA HARTZ,1991,RS,0.191,0.707,0.615,0.436
NOVA PÁDUA,1991,RS,0.294,0.782,0.631,0.525
NOVA PALMA,1991,RS,0.293,0.76,0.595,0.51
NOVA PETRÓPOLIS,1991,RS,0.382,0.788,0.68,0.589
NOVA PRATA,1991,RS,0.397,0.763,0.664,0.586
NOVA RAMADA,1991,RS,0.151,0.72,0.663,0.416
NOVA ROMA DO SUL,1991,RS,0.316,0.745,0.642,0.533
NOVA SANTA RITA,1991,RS,0.215,0.701,0.623,0.455
NOVO CABRAIS,1991,RS,0.183,0.689,0.566,0.415
NOVO HAMBURGO,1991,RS,0.315,0.732,0.697,0.544
NOVO MACHADO,1991,RS,0.228,0.738,0.53,0.447
NOVO TIRADENTES,1991,RS,0.2,0.705,0.475,0.406
NOVO XINGU,1991,RS,0.188,0.751,0.497,0.412
NOVO BARREIRO,1991,RS,0.16,0.729,0.426,0.368
OSÓRIO,1991,RS,0.341,0.788,0.672,0.565
PAIM FILHO,1991,RS,0.267,0.72,0.522,0.465
PALMARES DO SUL,1991,RS,0.253,0.754,0.649,0.498
PALMEIRA DAS MISSÕES,1991,RS,0.27,0.75,0.618,0.5
PALMITINHO,1991,RS,0.2,0.705,0.5,0.413
PANAMBI,1991,RS,0.336,0.762,0.606,0.537
PANTANO GRANDE,1991,RS,0.216,0.696,0.581,0.444
PARAÍ,1991,RS,0.352,0.78,0.661,0.566
PARAÍSO DO SUL,1991,RS,0.203,0.696,0.605,0.441
PARECI NOVO,1991,RS,0.219,0.78,0.639,0.478
PAROBÉ,1991,RS,0.183,0.76,0.628,0.444
PASSA SETE,1991,RS,0.08,0.681,0.494,0.3
PASSO DO SOBRADO,1991,RS,0.226,0.739,0.673,0.483
PASSO FUNDO,1991,RS,0.421,0.717,0.678,0.589
PAULO BENTO,1991,RS,0.178,0.763,0.498,0.407
PAVERAMA,1991,RS,0.139,0.754,0.554,0.387
PEDRAS ALTAS,1991,RS,0.139,0.686,0.541,0.372
PEDRO OSÓRIO,1991,RS,0.318,0.693,0.631,0.518
PEJUÇARA,1991,RS,0.345,0.72,0.642,0.542
PELOTAS,1991,RS,0.354,0.736,0.666,0.558
PICADA CAFÉ,1991,RS,0.291,0.727,0.663,0.52
PINHAL,1991,RS,0.184,0.718,0.496,0.403
PINHAL DA SERRA,1991,RS,0.075,0.706,0.407,0.278
PINHAL GRANDE,1991,RS,0.169,0.702,0.561,0.405
PINHEIRINHO DO VALE,1991,RS,0.141,0.71,0.526,0.375
PINHEIRO MACHADO,1991,RS,0.189,0.686,0.594,0.425
PIRAPÓ,1991,RS,0.188,0.684,0.466,0.391
PIRATINI,1991,RS,0.173,0.72,0.547,0.408
PLANALTO,1991,RS,0.233,0.699,0.538,0.444
POÇO DAS ANTAS,1991,RS,0.253,0.754,0.614,0.489
PONTÃO,1991,RS,0.138,0.688,0.547,0.373
PONTE PRETA,1991,RS,0.106,0.75,0.477,0.336
PORTÃO,1991,RS,0.214,0.714,0.61,0.453
PORTO ALEGRE,1991,RS,0.494,0.748,0.779,0.66
PORTO LUCENA,1991,RS,0.232,0.705,0.509,0.437
PORTO MAUÁ,1991,RS,0.284,0.735,0.511,0.474
PORTO VERA CRUZ,1991,RS,0.198,0.73,0.464,0.406
PORTO XAVIER,1991,RS,0.271,0.747,0.581,0.49
POUSO NOVO,1991,RS,0.26,0.772,0.613,0.497
PRESIDENTE LUCENA,1991,RS,0.207,0.763,0.595,0.455
PROGRESSO,1991,RS,0.169,0.676,0.58,0.405
PROTÁSIO ALVES,1991,RS,0.171,0.742,0.597,0.423
PUTINGA,1991,RS,0.215,0.734,0.556,0.444
QUARAÍ,1991,RS,0.355,0.714,0.628,0.542
QUATRO IRMÃOS,1991,RS,0.105,0.705,0.485,0.33
QUEVEDOS,1991,RS,0.12,0.711,0.474,0.343
QUINZE DE NOVEMBRO,1991,RS,0.23,0.734,0.643,0.477
REDENTORA,1991,RS,0.14,0.623,0.491,0.35
RELVADO,1991,RS,0.161,0.715,0.58,0.406
RESTINGA SECA,1991,RS,0.275,0.701,0.61,0.49
RIO DOS ÍNDIOS,1991,RS,0.123,0.707,0.401,0.327
RIO GRANDE,1991,RS,0.314,0.717,0.651,0.527
RIO PARDO,1991,RS,0.268,0.696,0.602,0.482
RIOZINHO,1991,RS,0.175,0.76,0.557,0.42
ROCA SALES,1991,RS,0.288,0.745,0.618,0.51
RODEIO BONITO,1991,RS,0.293,0.751,0.555,0.496
ROLADOR,1991,RS,0.145,0.745,0.454,0.366
ROLANTE,1991,RS,0.207,0.727,0.58,0.444
RONDA ALTA,1991,RS,0.24,0.73,0.544,0.457
RONDINHA,1991,RS,0.266,0.751,0.604,0.494
ROQUE GONZALES,1991,RS,0.237,0.717,0.528,0.448
ROSÁRIO DO SUL,1991,RS,0.29,0.714,0.591,0.496
SAGRADA FAMÍLIA,1991,RS,0.124,0.713,0.395,0.327
SALDANHA MARINHO,1991,RS,0.258,0.734,0.694,0.508
SALTO DO JACUÍ,1991,RS,0.232,0.689,0.606,0.459
SALVADOR DAS MISSÕES,1991,RS,0.362,0.709,0.542,0.518
SALVADOR DO SUL,1991,RS,0.299,0.762,0.63,0.524
SANANDUVA,1991,RS,0.302,0.75,0.596,0.513
SANTA BÁRBARA DO SUL,1991,RS,0.342,0.734,0.631,0.541
SANTA CECÍLIA DO SUL,1991,RS,0.137,0.73,0.516,0.372
SANTA CLARA DO SUL,1991,RS,0.267,0.758,0.591,0.493
SANTA CRUZ DO SUL,1991,RS,0.353,0.733,0.681,0.561
SANTA MARIA,1991,RS,0.428,0.756,0.699,0.609
SANTA MARIA DO HERVAL,1991,RS,0.152,0.727,0.584,0.401
SANTA MARGARIDA DO SUL,1991,RS,0.182,0.76,0.56,0.426
SANTANA DA BOA VISTA,1991,RS,0.172,0.704,0.483,0.388
SANT'ANA DO LIVRAMENTO,1991,RS,0.382,0.706,0.641,0.557
SANTA ROSA,1991,RS,0.359,0.745,0.64,0.555
SANTA TEREZA,1991,RS,0.211,0.78,0.594,0.461
SANTA VITÓRIA DO PALMAR,1991,RS,0.29,0.668,0.649,0.501
SANTIAGO,1991,RS,0.371,0.766,0.616,0.559
SANTO ÂNGELO,1991,RS,0.374,0.752,0.651,0.568
SANTO ANTÔNIO DO PALMA,1991,RS,0.211,0.76,0.579,0.453
SANTO ANTÔNIO DA PATRULHA,1991,RS,0.281,0.748,0.625,0.508
SANTO ANTÔNIO DAS MISSÕES,1991,RS,0.21,0.71,0.551,0.435
SANTO ANTÔNIO DO PLANALTO,1991,RS,0.276,0.765,0.63,0.51
SANTO AUGUSTO,1991,RS,0.256,0.7,0.616,0.48
SANTO CRISTO,1991,RS,0.304,0.734,0.57,0.503
SANTO EXPEDITO DO SUL,1991,RS,0.161,0.717,0.47,0.379
SÃO BORJA,1991,RS,0.331,0.754,0.632,0.54
SÃO DOMINGOS DO SUL,1991,RS,0.375,0.751,0.651,0.568
SÃO FRANCISCO DE ASSIS,1991,RS,0.223,0.72,0.547,0.445
SÃO FRANCISCO DE PAULA,1991,RS,0.243,0.678,0.608,0.464
SÃO GABRIEL,1991,RS,0.294,0.75,0.632,0.518
SÃO JERÔNIMO,1991,RS,0.238,0.72,0.639,0.478
SÃO JOÃO DA URTIGA,1991,RS,0.211,0.734,0.506,0.428
SÃO JOÃO DO POLÊSINE,1991,RS,0.286,0.72,0.605,0.499
SÃO JORGE,1991,RS,0.298,0.72,0.604,0.506
SÃO JOSÉ DAS MISSÕES,1991,RS,0.099,0.711,0.492,0.326
SÃO JOSÉ DO HERVAL,1991,RS,0.172,0.734,0.533,0.407
SÃO JOSÉ DO HORTÊNCIO,1991,RS,0.253,0.752,0.584,0.481
SÃO JOSÉ DO INHACORÁ,1991,RS,0.221,0.75,0.517,0.441
SÃO JOSÉ DO NORTE,1991,RS,0.141,0.626,0.527,0.36
SÃO JOSÉ DO OURO,1991,RS,0.287,0.7,0.581,0.489
SÃO JOSÉ DO SUL,1991,RS,0.167,0.734,0.588,0.416
SÃO JOSÉ DOS AUSENTES,1991,RS,0.19,0.686,0.569,0.42
SÃO LEOPOLDO,1991,RS,0.327,0.715,0.684,0.543
SÃO LOURENÇO DO SUL,1991,RS,0.227,0.736,0.618,0.469
SÃO LUIZ GONZAGA,1991,RS,0.328,0.702,0.612,0.52
SÃO MARCOS,1991,RS,0.32,0.761,0.702,0.555
SÃO MARTINHO,1991,RS,0.275,0.72,0.525,0.47
SÃO MARTINHO DA SERRA,1991,RS,0.13,0.752,0.515,0.369
SÃO MIGUEL DAS MISSÕES,1991,RS,0.184,0.673,0.527,0.403
SÃO NICOLAU,1991,RS,0.163,0.694,0.537,0.393
SÃO PAULO DAS MISSÕES,1991,RS,0.243,0.717,0.492,0.441
SÃO PEDRO DA SERRA,1991,RS,0.328,0.754,0.658,0.546
SÃO PEDRO DAS MISSÕES,1991,RS,0.196,0.711,0.452,0.398
SÃO PEDRO DO BUTIÁ,1991,RS,0.373,0.748,0.607,0.553
SÃO PEDRO DO SUL,1991,RS,0.272,0.694,0.571,0.476
SÃO SEBASTIÃO DO CAÍ,1991,RS,0.339,0.744,0.668,0.552
SÃO SEPÉ,1991,RS,0.293,0.717,0.617,0.506
SÃO VALENTIM,1991,RS,0.219,0.729,0.601,0.458
SÃO VALENTIM DO SUL,1991,RS,0.28,0.76,0.596,0.502
SÃO VALÉRIO DO SUL,1991,RS,0.238,0.716,0.47,0.431
SÃO VENDELINO,1991,RS,0.273,0.777,0.622,0.509
SÃO VICENTE DO SUL,1991,RS,0.25,0.752,0.617,0.488
SAPIRANGA,1991,RS,0.212,0.736,0.636,0.463
SAPUCAIA DO SUL,1991,RS,0.288,0.748,0.625,0.513
SARANDI,1991,RS,0.332,0.766,0.603,0.535
SEBERI,1991,RS,0.178,0.734,0.514,0.406
SEDE NOVA,1991,RS,0.229,0.754,0.532,0.451
SEGREDO,1991,RS,0.176,0.672,0.517,0.394
SELBACH,1991,RS,0.412,0.727,0.618,0.57
SENADOR SALGADO FILHO,1991,RS,0.171,0.72,0.493,0.393
SENTINELA DO SUL,1991,RS,0.135,0.707,0.554,0.375
SERAFINA CORRÊA,1991,RS,0.358,0.75,0.658,0.561
SÉRIO,1991,RS,0.128,0.727,0.531,0.367
SERTÃO,1991,RS,0.293,0.752,0.552,0.495
SERTÃO SANTANA,1991,RS,0.179,0.664,0.577,0.409
SETE DE SETEMBRO,1991,RS,0.175,0.717,0.468,0.389
SEVERIANO DE ALMEIDA,1991,RS,0.23,0.75,0.533,0.451
SILVEIRA MARTINS,1991,RS,0.282,0.76,0.589,0.502
SINIMBU,1991,RS,0.134,0.705,0.553,0.374
SOBRADINHO,1991,RS,0.361,0.692,0.623,0.538
SOLEDADE,1991,RS,0.316,0.734,0.615,0.522
TABAÍ,1991,RS,0.156,0.687,0.509,0.379
TAPEJARA,1991,RS,0.274,0.707,0.608,0.49
TAPERA,1991,RS,0.376,0.703,0.64,0.553
TAPES,1991,RS,0.267,0.714,0.646,0.498
TAQUARA,1991,RS,0.289,0.788,0.679,0.537
TAQUARI,1991,RS,0.289,0.709,0.603,0.498
TAQUARUÇU DO SUL,1991,RS,0.189,0.734,0.595,0.435
TAVARES,1991,RS,0.171,0.744,0.608,0.426
TENENTE PORTELA,1991,RS,0.285,0.711,0.547,0.48
TERRA DE AREIA,1991,RS,0.265,0.72,0.606,0.487
TEUTÔNIA,1991,RS,0.314,0.747,0.654,0.535
TIO HUGO,1991,RS,0.2,0.727,0.54,0.428
TIRADENTES DO SUL,1991,RS,0.17,0.734,0.484,0.392
TOROPI,1991,RS,0.141,0.698,0.507,0.368
TORRES,1991,RS,0.319,0.745,0.657,0.538
TRAMANDAÍ,1991,RS,0.288,0.714,0.622,0.504
TRAVESSEIRO,1991,RS,0.22,0.694,0.559,0.44
TRÊS ARROIOS,1991,RS,0.24,0.763,0.612,0.482
TRÊS CACHOEIRAS,1991,RS,0.258,0.744,0.685,0.509
TRÊS COROAS,1991,RS,0.243,0.711,0.631,0.478
TRÊS DE MAIO,1991,RS,0.339,0.75,0.595,0.533
TRÊS FORQUILHAS,1991,RS,0.147,0.715,0.514,0.378
TRÊS PALMEIRAS,1991,RS,0.157,0.734,0.508,0.388
TRÊS PASSOS,1991,RS,0.317,0.754,0.598,0.523
TRINDADE DO SUL,1991,RS,0.158,0.734,0.464,0.378
TRIUNFO,1991,RS,0.267,0.706,0.633,0.492
TUCUNDUVA,1991,RS,0.374,0.75,0.632,0.562
TUNAS,1991,RS,0.102,0.667,0.479,0.319
TUPANCI DO SUL,1991,RS,0.201,0.681,0.471,0.401
TUPANCIRETÃ,1991,RS,0.308,0.702,0.619,0.512
TUPANDI,1991,RS,0.153,0.754,0.575,0.405
TUPARENDI,1991,RS,0.288,0.75,0.563,0.495
TURUÇU,1991,RS,0.117,0.694,0.535,0.352
UBIRETAMA,1991,RS,0.226,0.72,0.497,0.432
UNIÃO DA SERRA,1991,RS,0.15,0.781,0.55,0.401
UNISTALDA,1991,RS,0.153,0.702,0.494,0.376
URUGUAIANA,1991,RS,0.357,0.715,0.653,0.55
VACARIA,1991,RS,0.329,0.734,0.633,0.535
VALE VERDE,1991,RS,0.151,0.705,0.613,0.403
VALE DO SOL,1991,RS,0.094,0.719,0.555,0.335
VALE REAL,1991,RS,0.22,0.721,0.579,0.451
VANINI,1991,RS,0.432,0.72,0.575,0.563
VENÂNCIO AIRES,1991,RS,0.245,0.734,0.603,0.477
VERA CRUZ,1991,RS,0.219,0.721,0.6,0.456
VERANÓPOLIS,1991,RS,0.41,0.777,0.678,0.6
VESPASIANO CORREA,1991,RS,0.18,0.772,0.571,0.43
VIADUTOS,1991,RS,0.163,0.745,0.595,0.417
VIAMÃO,1991,RS,0.281,0.758,0.626,0.511
VICENTE DUTRA,1991,RS,0.133,0.705,0.491,0.358
VICTOR GRAEFF,1991,RS,0.32,0.721,0.597,0.516
VILA FLORES,1991,RS,0.368,0.713,0.681,0.563
VILA LÂNGARO,1991,RS,0.178,0.742,0.53,0.412
VILA MARIA,1991,RS,0.214,0.751,0.622,0.464
VILA NOVA DO SUL,1991,RS,0.163,0.671,0.499,0.379
VISTA ALEGRE,1991,RS,0.219,0.705,0.6,0.452
VISTA ALEGRE DO PRATA,1991,RS,0.171,0.748,0.654,0.437
VISTA GAÚCHA,1991,RS,0.26,0.72,0.523,0.461
VITÓRIA DAS MISSÕES,1991,RS,0.209,0.707,0.547,0.432
WESTFALIA,1991,RS,0.358,0.759,0.66,0.564
XANGRI-LÁ,1991,RS,0.252,0.761,0.658,0.502
ÁGUA CLARA,1991,MS,0.107,0.709,0.578,0.353
ALCINÓPOLIS,1991,MS,0.057,0.689,0.655,0.295
AMAMBAI,1991,MS,0.209,0.704,0.605,0.447
ANASTÁCIO,1991,MS,0.139,0.651,0.525,0.362
ANAURILÂNDIA,1991,MS,0.122,0.655,0.578,0.359
ANGÉLICA,1991,MS,0.207,0.704,0.534,0.427
ANTÔNIO JOÃO,1991,MS,0.146,0.664,0.534,0.373
APARECIDA DO TABOADO,1991,MS,0.24,0.711,0.619,0.473
AQUIDAUANA,1991,MS,0.215,0.697,0.597,0.447
ARAL MOREIRA,1991,MS,0.152,0.711,0.58,0.397
BANDEIRANTES,1991,MS,0.181,0.689,0.627,0.428
BATAGUASSU,1991,MS,0.232,0.689,0.601,0.458
BATAYPORÃ,1991,MS,0.175,0.655,0.564,0.401
BELA VISTA,1991,MS,0.235,0.697,0.626,0.468
BODOQUENA,1991,MS,0.123,0.638,0.524,0.345
BONITO,1991,MS,0.161,0.704,0.589,0.406
BRASILÂNDIA,1991,MS,0.125,0.67,0.584,0.366
CAARAPÓ,1991,MS,0.191,0.664,0.592,0.422
CAMAPUÃ,1991,MS,0.221,0.653,0.638,0.452
CAMPO GRANDE,1991,MS,0.354,0.717,0.703,0.563
CARACOL,1991,MS,0.152,0.704,0.507,0.379
CASSILÂNDIA,1991,MS,0.294,0.686,0.673,0.514
CHAPADÃO DO SUL,1991,MS,0.322,0.702,0.699,0.541
